id,commits,exceptionsCount,gitUrl,javaLoc,numberOfProductionFiles,numberOfTestFiles,productionLoc,testLoc,refactoring,Refactorings_Count
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Extract Method,283
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Extract Subclass,17
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Extract Superclass,23
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Extract Variable,105
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Inline Method,24
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Inline Variable,23
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Merge Parameter,4
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Merge Variable,5
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Move And Inline Method,28
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Move And Rename Class,8
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Move And Rename Method,23
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Move Attribute,90
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Move Class,93
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Move Method,102
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Move Source Folder,229
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Parameterize Variable,15
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Pull Up Attribute,71
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Pull Up Method,110
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Push Down Attribute,58
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Push Down Method,128
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Rename Attribute,182
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Rename Class,39
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Rename Method,249
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Rename Parameter,268
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Rename Variable,93
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Replace Variable With Attribute,30
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Split Parameter,1
31,2481,0,https://github.com/facebook/fresco,91131,808,223,60246,30885,Split Variable,2
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Change Attribute Type,126
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Change Package,57
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Change Parameter Type,158
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Change Return Type,149
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Change Variable Type,152
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Extract And Move Method,16
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Extract Attribute,15
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Extract Class,43
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Extract Method,88
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Extract Subclass,3
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Extract Superclass,37
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Extract Variable,59
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Inline Method,9
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Inline Variable,6
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Merge Parameter,1
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Move And Inline Method,2
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Move And Rename Class,21
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Move And Rename Method,16
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Move Attribute,111
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Move Class,406
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Move Method,105
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Move Source Folder,21
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Parameterize Variable,13
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Pull Up Attribute,17
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Pull Up Method,49
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Push Down Attribute,10
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Push Down Method,35
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Rename Attribute,79
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Rename Class,61
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Rename Method,236
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Rename Parameter,100
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Rename Variable,142
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Replace Variable With Attribute,11
38,2368,0,https://github.com/ctripcorp/apollo,49204,537,168,30278,18926,Split Parameter,1
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Change Attribute Type,433
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Change Package,342
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Change Parameter Type,969
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Change Return Type,576
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Change Variable Type,615
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Extract And Move Method,83
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Extract Attribute,4
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Extract Class,64
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Extract Interface,12
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Extract Method,385
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Extract Subclass,17
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Extract Superclass,72
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Extract Variable,155
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Inline Method,94
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Inline Variable,64
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Merge Parameter,6
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Merge Variable,10
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Move And Inline Method,16
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Move And Rename Class,56
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Move And Rename Method,90
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Move Attribute,215
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Move Class,695
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Move Method,428
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Move Source Folder,260
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Parameterize Variable,31
